rank,name,login,contributions,company,organizations
1,Sandeep Singh,ehsandeep,18283,@projectdiscovery,projectdiscovery
2,Samarjit Sahoo,samarjitsahoo,11649,,
3,Karishma Shukla,amhsirak,11157,@getmaxun,getmaxun
4,Himanshu Dixit,himanshu-dixit,10602,"@headout, @rizortinc, @drupal","EpicGames,JECRCR,TheAlgorithms,PAC-JECRC,JECRCPAC,crusher-dev"
5,Farhan Reza,farhan7reza7,9102,https://www.quranbookk.com,"diff-ymd-package,Open-Sourced-Org,if-follow-package"
6,Saurav Hathi,sauravhathi,8753,@TheodySvadhyay,Saurav-Hathi
7,Vinayak Kulkarni,vinayakkulkarni,8444,,"Semantic-Org,vuejs-in,ffmpegwasm,geoql"
8,Amar kumar,amark720,8356,Persistent Systems,
9,Aakash Agarwal,instrik,8032,instrik.com,
10,Arpit Bhayani,arpitbbhayani,7113,@DiceDB,
11,Manish Bisht,manishbisht,6463,Run4Offers,"owncloud,fossasia,SKITJaipur,DiveHQ,magnifi-codeverse"
12,Ragunath Jawahar,ragunathjawahar,6100,@LegacyCodeHQ,LegacyCodeHQ
13,Bigint,bigint,6033,@heyxyz ,"jekyll,github-craftwork,interclip,heyverse,cultivator-dao"
14,Sanidhya Kumar Verma,sanidhyy,5519,@Jaro-dev-studio,
15,Shivam Mathur,shivammathur,5457,@fastlabtech ,"php,setup-php,ThePHPF"
16,Swadesh Behera,itswadesh,4529,,
17,Sabyasachi Seal,Sabyasachi-Seal,4241,,"hackclub,jazzband,thank-you-php,risk-first,doocs,dev-protocol,EddieHubCommunity,Py-Contributors,EquiCode,lispXXX,BlackTimber-Labs,CommunityPro,devs-in-tech,Huniko-Team,infraform,AccessibleForAll,SamarthTMSL"
18,Niranjan Rajendran,niranjan94,4221,@mockingjay-io ,"fossasia,OpnTec,loklak,mockingjay-io,collation-ai"
19,Akash Manohar,HashNuke,3936,,"nko3,nko4,vulk,asdf-vm"
20,Milind Mishra,thatbeautifuldream,3916,,
21,Nikhil Anand,niks-nikhil-anand,3897,,
22,Md Azfar Alam,mdazfar2,3841,@HelpOps-Hub @Nexus-lb @jec-forge,"EddieHubCommunity,cloudcommunity,Design-and-Code,recodehive,64-shades,Bauddhik-Geeks,Devs-Dungeon,infraform,GrowInCommunity,Jec-Forge,Nexus-lb,HelpOps-Hub"
23,Aahnik Daw,aahnik,3838,@aahniks ,"gita,Project-Club-IIITS,EddieHubCommunity,Python-World,aahniks,cdiig,ping0ms,avabodha-space,nirvana-iiits,Enigma-IIITS,qbtrix,ggj-iiits,web3ssh-iiits,gdg-iiits"
24,Kovid Goyal,kovidgoyal,3718,,
25,Pranav Vashi,neobuddy89,3687,,crdroidandroid
26,Indrajith C,indrajithc,3404,,
27,Saket Choudhary,saketkc,3384,IIT Bombay,"oerpub,wysiwhat,biojs,conda-forge,bioconda"
28,Bhargav Ponnapalli,imbhargav5,3362,@usenextbase ,"styled-components,rxjs-playground,bhargav-kitchen"
29,Sayak Paul,sayakpaul,3165,@huggingface,"huggingface,all-things-vits"
30,Mehul Mohan,mehulmpt,3139,@codedamn ,codedamn
31,Siddharth Gelera (reaper),barelyhuman,3116,@nearform,"dumbjs,preachjs,TinyTownStudio"
32,Sanju S,Spikeysanju,3023,@THISUXHQ,"gdgchennai,TheCodeMonks"
33,Vikranth Udandarao,Vikranth3140,2986,@IIIT-Delhi,"IIIT-Delhi,EddieHubCommunity,yfosp,AlgoArchives,Roamify-Research,EmoBot208,DC-Lab-Talks"
34,Bhupender Singh Mehta,Bhupender2,2920,NEET ADVISOR,
35,Anshu Raj,anshuopinion,2904,,
36,Mukesh Solanki,mukeshsolanki,2782,,
37,Akshay Vs,Akshay-Vs,2769,Student,"Project-Eco-Track,Active-Matrix"
38,Aashutosh Rathi,aashutoshrathi,2765,@REGIE-io @2AMDevs,"fossasia,OpnTec,iiitv,coala,GDG-GANDHINAGAR,JBossOutreach,NJACKWinterOfCode,the-forty-two,animeongaku,cerebro-iiitv,PyJaipur,dscindia,dsc-x,REGIE-io,sports-stock-exchange,gohostapp,stackrlabs"
39,Sanket Dhuri,sanket-25,2723,@vyra25,
40,Darshan Gada,dr5hn,2694,Webby Wonder,"sozo-design,ilovejson,webbywonder"
41,Mainak,0xmainak,2694,,
42,Parikshit Singh,parikshit223933,2656,Coding Ninjas India,"collective,fossasia,NVIDIAGameWorks,CodingNinjasHQ"
43,Sudhanshu Yadav,s-yadav,2629,Prophecy,
44,Ashish Kulkarni,ashkulz,2624,@teamsimplepay,"wkhtmltopdf,prontolabs,teamsimplepay"
45,Rohan Kulkarni,rohan-kulkarni-25,2603,,"EddieHubCommunity,CodXCrypt,LetsGrowMoreCommunity,Coders-Evoke-Community,MichiSpotlight,TechThrusters,upsurgeio"
46,Pavan Podila,pavanpodila,2555,@vyuh-tech ,mobxjs
47,Sagnik Ghosh,sagnikghoshcr7,2458,MSAC,"msac-tangocharlie,MLSAKIIT,COVIDE-ORG,Devs-Dungeon"
48,Sarthak Shrivastava,sarthaksavvy,2447,@bitfumes ,bitfumes
49,Divy Srivastava,littledivy,2444,,"nodejs,denoland,denosaurs,elsaland,wintercg,jsr-io"
50,ishan dutta,ishandutta2007,2426,,
51,Harsh Shandilya,msfjarvis,2414,@dyte-io ,"WireGuard,seedmtk-devs,mimicmobile,android-linux-stable,ClangBuiltLinux,android-password-store"
52,Programmer Gaurav,ProgrammerGaurav,2344,Xoxoday,"Noob-Coders-Gang,Team-Focussed"
53,Samyak Shah,samyakshah3008,2343,,"layer5io,meshery"
54,QUICK GCP LAB,QUICK-GCP-LAB,2318,QUICK GCP LAB,
55,Albert,albseb511,2317,,
56,Harminder Virk,thetutlage,2307,,"adonisjs,poppinss,dimerapp,adonisjs-community,edge-js"
57,Dheeraj Kotwani,dheerajkotwani,2303,@Zomato @DSC-JSS-NOIDA @fossasia,"collective,Zomato,fossasia,NVIDIAGameWorks,grofers,loklak,dwyl,jazzband,fnplus,codezoned,EddieHubCommunity,qxresearch,Py-Contributors,AbsurdNerd,Algo-Phantoms"
58,Vedant Chainani,Envoy-VC,2253,,
59,Sarthak Roy,sarthakroy2002,2206,@ArrowOS @PixelOS-AOSP @yaap,"ArrowOS-Devices,yaap,PixelOS-Devices,AOSPA-RMX2020,yogurt-devs"
